"Survey","StationName","Quadrat","TotalSpat","TotalSeed","TotalLegal","Weight_kg","Number_drills","Month","Day","Year","Period","Season"
9,"Lighthouse",2,467,105,0,11.64,0,11,16,2021,14,"Winter"
9,"Lighthouse",3,706,159,0,9.92,0,11,16,2021,14,"Winter"
9,"Lighthouse",4,345,78,0,5.54,0,11,16,2021,14,"Winter"
9,"Lighthouse",5,326,74,0,7.33,0,11,16,2021,14,"Winter"
9,"Lighthouse",6,533,120,0,11.36,0,11,16,2021,14,"Winter"
9,"Lighthouse",7,910,205,0,13.88,0,11,16,2021,14,"Winter"
9,"Lighthouse",8,545,123,0,7.9,1,11,16,2021,14,"Winter"
9,"Lighthouse",9,653,147,0,9,0,11,16,2021,14,"Winter"
9,"Lighthouse",10,605,136,0,11.84,0,11,16,2021,14,"Winter"
9,"Lighthouse",11,547,123,0,9.84,0,11,16,2021,14,"Winter"
9,"Lighthouse",12,714,161,0,8.14,0,11,16,2021,14,"Winter"
9,"Lighthouse",13,543,122,0,7.88,0,11,16,2021,14,"Winter"
9,"Lighthouse",14,666,150,0,11.56,0,11,16,2021,14,"Winter"
9,"Lighthouse",15,956,215,0,13.19,0,11,16,2021,14,"Winter"
9,"East Lumps",1,2080,469,1,9.86,0,10,27,2021,14,"Winter"
9,"East Lumps",2,1659,374,1,7.31,0,10,27,2021,14,"Winter"
9,"East Lumps",3,1611,363,1,9.02,0,10,27,2021,14,"Winter"
9,"East Lumps",4,2217,500,1,9.04,0,10,27,2021,14,"Winter"
9,"East Lumps",5,1832,413,1,9.64,0,10,27,2021,14,"Winter"
9,"East Lumps",6,1859,419,1,11.21,0,10,27,2021,14,"Winter"
9,"East Lumps",7,1553,350,1,8.48,0,10,27,2021,14,"Winter"
9,"East Lumps",8,1197,270,0,7.4,0,10,27,2021,14,"Winter"
9,"East Lumps",9,1495,337,0,9.91,0,10,27,2021,14,"Winter"
9,"East Lumps",10,1906,430,1,14.01,0,10,27,2021,14,"Winter"
9,"East Lumps",11,1142,257,0,7.32,0,10,27,2021,14,"Winter"
9,"East Lumps",12,1990,448,1,10.96,0,10,27,2021,14,"Winter"
9,"East Lumps",13,1366,308,0,8.35,0,10,27,2021,14,"Winter"
9,"East Lumps",14,1269,286,0,9.72,0,10,27,2021,14,"Winter"
9,"East Lumps",15,2035,459,1,10.02,0,10,27,2021,14,"Winter"
9,"Cat Point",1,508,115,0,5.57,0,10,26,2021,14,"Winter"
9,"Cat Point",2,405,91,0,4.84,0,10,26,2021,14,"Winter"
9,"Cat Point",3,569,128,0,4.76,0,10,26,2021,14,"Winter"
9,"Cat Point",4,933,210,0,11.4,0,10,26,2021,14,"Winter"
9,"Cat Point",5,409,92,0,8.93,0,10,26,2021,14,"Winter"
9,"Cat Point",6,568,128,0,7.36,0,10,26,2021,14,"Winter"
9,"Cat Point",7,374,84,0,3.66,0,10,26,2021,14,"Winter"
9,"Cat Point",8,276,62,0,3.85,0,10,26,2021,14,"Winter"
9,"Cat Point",9,419,94,0,3.68,0,10,26,2021,14,"Winter"
9,"Cat Point",10,45,10,0,1.47,0,10,26,2021,14,"Winter"
9,"Cat Point",11,135,31,0,2.73,0,10,26,2021,14,"Winter"
9,"Cat Point",12,1323,298,0,10.86,0,10,26,2021,14,"Winter"
9,"Cat Point",13,1510,340,0,18.03,0,10,26,2021,14,"Winter"
9,"Cat Point",14,661,149,0,9.24,0,10,26,2021,14,"Winter"
9,"Cat Point",15,724,163,0,10.95,0,10,26,2021,14,"Winter"
10,"Lighthouse",1,477,108,0,11.86,0,2,10,2022,14,"Winter"
10,"Lighthouse",2,391,88,0,9.23,0,2,10,2022,14,"Winter"
10,"Lighthouse",3,255,58,0,7.89,0,2,10,2022,14,"Winter"
10,"Lighthouse",4,419,95,0,10.43,0,2,10,2022,14,"Winter"
10,"Lighthouse",5,331,75,0,11.36,0,2,10,2022,14,"Winter"
10,"Lighthouse",6,787,177,0,13.08,0,2,10,2022,14,"Winter"
10,"Lighthouse",7,671,151,0,11.58,0,2,10,2022,14,"Winter"
10,"Lighthouse",8,513,116,0,12.22,0,2,10,2022,14,"Winter"
10,"Lighthouse",9,374,84,0,10.17,0,2,10,2022,14,"Winter"
10,"Lighthouse",10,626,141,0,13.32,0,2,10,2022,14,"Winter"
10,"Lighthouse",11,281,63,0,9.43,0,2,10,2022,14,"Winter"
10,"Lighthouse",12,516,116,0,12.65,0,2,10,2022,14,"Winter"
10,"Lighthouse",13,623,140,0,14.06,0,2,10,2022,14,"Winter"
10,"Lighthouse",14,276,62,0,8.33,0,2,10,2022,14,"Winter"
10,"Lighthouse",15,169,38,0,4.74,0,2,10,2022,14,"Winter"
10,"East Lumps",1,291,66,0,7.99,0,1,24,2022,14,"Winter"
10,"East Lumps",2,232,52,0,6.03,0,1,24,2022,14,"Winter"
10,"East Lumps",3,565,127,0,12.15,0,1,24,2022,14,"Winter"
10,"East Lumps",4,317,72,0,8.82,0,1,24,2022,14,"Winter"
10,"East Lumps",5,433,98,0,9.27,0,1,24,2022,14,"Winter"
10,"East Lumps",6,313,71,0,7.04,0,1,24,2022,14,"Winter"
10,"East Lumps",7,220,50,0,5.98,0,1,24,2022,14,"Winter"
10,"East Lumps",8,234,53,0,6.08,0,1,24,2022,14,"Winter"
10,"East Lumps",9,167,38,0,5.59,0,1,24,2022,14,"Winter"
10,"East Lumps",10,574,129,0,11.35,0,1,24,2022,14,"Winter"
10,"East Lumps",11,286,65,0,7.81,0,1,24,2022,14,"Winter"
10,"East Lumps",12,361,81,0,9.21,0,1,24,2022,14,"Winter"
10,"East Lumps",13,279,63,0,8.12,0,1,24,2022,14,"Winter"
10,"East Lumps",14,335,76,0,6.67,0,1,24,2022,14,"Winter"
10,"East Lumps",15,509,115,0,12.08,0,1,24,2022,14,"Winter"
10,"Cat Point",1,197,44,0,5.76,0,1,24,2022,14,"Winter"
10,"Cat Point",2,768,173,0,9.14,0,1,24,2022,14,"Winter"
10,"Cat Point",3,717,162,0,8.95,0,1,24,2022,14,"Winter"
10,"Cat Point",4,184,41,0,8.39,0,1,24,2022,14,"Winter"
10,"Cat Point",5,157,35,0,3.01,0,1,24,2022,14,"Winter"
10,"Cat Point",6,48,11,0,5.75,0,1,24,2022,14,"Winter"
10,"Cat Point",7,374,84,0,5.92,0,1,24,2022,14,"Winter"
10,"Cat Point",8,55,13,0,3.99,0,1,24,2022,14,"Winter"
10,"Cat Point",9,47,10,0,7.23,0,1,24,2022,14,"Winter"
10,"Cat Point",10,79,18,0,6,0,1,24,2022,14,"Winter"
10,"Cat Point",11,971,219,0,14.13,0,1,24,2022,14,"Winter"
10,"Cat Point",12,337,76,0,6.2,0,1,24,2022,14,"Winter"
10,"Cat Point",13,77,17,0,3.8,0,1,24,2022,14,"Winter"
10,"Cat Point",14,206,46,0,3.91,0,1,24,2022,14,"Winter"
10,"Cat Point",15,69,16,0,2.52,0,1,24,2022,14,"Winter"
11,"Lighthouse",1,93,155,0,10.64,0,5,24,2022,15,"Summer"
11,"Lighthouse",2,51,85,0,9.9,0,5,24,2022,15,"Summer"
11,"Lighthouse",3,38,64,0,9.17,0,5,24,2022,15,"Summer"
11,"Lighthouse",4,47,79,0,9.81,0,5,24,2022,15,"Summer"
11,"Lighthouse",5,48,79,0,9.89,0,5,24,2022,15,"Summer"
11,"Lighthouse",6,53,87,0,10.19,0,5,24,2022,15,"Summer"
11,"Lighthouse",7,44,74,0,9.05,0,5,24,2022,15,"Summer"
11,"Lighthouse",8,52,86,0,9.93,0,5,24,2022,15,"Summer"
11,"Lighthouse",9,52,87,0,9.79,0,5,24,2022,15,"Summer"
11,"Lighthouse",10,42,70,0,10.3,0,5,24,2022,15,"Summer"
11,"Lighthouse",11,72,120,0,9.58,0,5,24,2022,15,"Summer"
11,"Lighthouse",12,11,19,0,2.98,0,5,24,2022,15,"Summer"
11,"Lighthouse",13,33,55,0,7.52,0,5,24,2022,15,"Summer"
11,"Lighthouse",14,54,90,0,7.95,0,5,24,2022,15,"Summer"
11,"Lighthouse",15,57,94,0,10.88,0,5,24,2022,15,"Summer"
11,"East Lumps",1,86,142,0,7.21,0,5,24,2022,15,"Summer"
11,"East Lumps",2,82,136,0,8.27,0,5,24,2022,15,"Summer"
11,"East Lumps",3,49,81,0,6.74,0,5,24,2022,15,"Summer"
11,"East Lumps",4,35,58,0,6.63,0,5,24,2022,15,"Summer"
11,"East Lumps",5,90,149,0,11.05,0,5,24,2022,15,"Summer"
11,"East Lumps",6,98,163,0,7.28,0,5,24,2022,15,"Summer"
11,"East Lumps",7,132,219,0,7.55,0,5,24,2022,15,"Summer"
11,"East Lumps",8,42,70,0,9.69,0,5,24,2022,15,"Summer"
11,"East Lumps",9,28,46,0,8.35,0,5,24,2022,15,"Summer"
11,"East Lumps",10,59,98,0,13.1,0,5,24,2022,15,"Summer"
11,"East Lumps",11,41,69,0,6.18,0,5,24,2022,15,"Summer"
11,"East Lumps",12,92,153,0,9.74,0,5,24,2022,15,"Summer"
11,"East Lumps",13,107,178,0,7.7,0,5,24,2022,15,"Summer"
11,"East Lumps",14,45,75,0,9.29,0,5,24,2022,15,"Summer"
11,"East Lumps",15,48,80,0,10.32,0,5,24,2022,15,"Summer"
11,"Cat Point",1,43,72,0,6.67,0,5,24,2022,15,"Summer"
11,"Cat Point",2,80,133,0,7,0,5,24,2022,15,"Summer"
11,"Cat Point",3,62,103,0,6.96,0,5,24,2022,15,"Summer"
11,"Cat Point",4,66,110,0,6.88,0,5,24,2022,15,"Summer"
11,"Cat Point",5,80,132,0,6.33,0,5,24,2022,15,"Summer"
11,"Cat Point",6,103,171,0,6.79,0,5,24,2022,15,"Summer"
11,"Cat Point",7,27,44,0,3.55,0,5,24,2022,15,"Summer"
11,"Cat Point",8,94,156,0,6.82,0,5,24,2022,15,"Summer"
11,"Cat Point",9,32,52,0,3.73,0,5,24,2022,15,"Summer"
11,"Cat Point",10,62,103,0,6.65,0,5,24,2022,15,"Summer"
11,"Cat Point",11,81,134,0,7.34,0,5,24,2022,15,"Summer"
11,"Cat Point",12,40,67,0,5.34,0,5,24,2022,15,"Summer"
11,"Cat Point",13,75,125,0,8.04,0,5,24,2022,15,"Summer"
11,"Cat Point",14,99,164,0,8.56,1,5,24,2022,15,"Summer"
11,"Cat Point",15,68,113,0,7.15,0,5,24,2022,15,"Summer"
