"Survey","StationName","Quadrat","TotalSpat","TotalSeed","TotalLegal","Weight_kg","Number_drills","Month","Day","Year","Period","Season"
10,"Cat Point",2,681,258,2,9.14,0,1,24,2022,14,"Winter"
10,"Cat Point",3,636,241,2,8.95,0,1,24,2022,14,"Winter"
10,"Cat Point",4,163,62,1,8.39,0,1,24,2022,14,"Winter"
10,"Cat Point",5,139,53,0,3.01,0,1,24,2022,14,"Winter"
10,"Cat Point",6,43,16,0,5.75,0,1,24,2022,14,"Winter"
10,"Cat Point",7,331,126,1,5.92,0,1,24,2022,14,"Winter"
10,"Cat Point",8,49,19,0,3.99,0,1,24,2022,14,"Winter"
10,"Cat Point",9,41,16,0,7.23,0,1,24,2022,14,"Winter"
10,"Cat Point",10,70,27,0,6,0,1,24,2022,14,"Winter"
10,"Cat Point",11,861,326,3,14.13,0,1,24,2022,14,"Winter"
10,"Cat Point",12,299,113,1,6.2,0,1,24,2022,14,"Winter"
10,"Cat Point",13,68,26,0,3.8,0,1,24,2022,14,"Winter"
10,"Cat Point",14,182,69,1,3.91,0,1,24,2022,14,"Winter"
10,"Cat Point",15,61,23,0,2.52,0,1,24,2022,14,"Winter"
11,"Lighthouse",1,99,148,1,10.64,0,5,24,2022,15,"Summer"
11,"Lighthouse",2,55,82,1,9.9,0,5,24,2022,15,"Summer"
11,"Lighthouse",3,41,61,0,9.17,0,5,24,2022,15,"Summer"
11,"Lighthouse",4,50,75,1,9.81,0,5,24,2022,15,"Summer"
11,"Lighthouse",5,51,76,1,9.89,0,5,24,2022,15,"Summer"
11,"Lighthouse",6,56,84,1,10.19,0,5,24,2022,15,"Summer"
11,"Lighthouse",7,47,70,0,9.05,0,5,24,2022,15,"Summer"
11,"Lighthouse",8,55,82,1,9.93,0,5,24,2022,15,"Summer"
11,"Lighthouse",9,55,83,1,9.79,0,5,24,2022,15,"Summer"
11,"Lighthouse",10,45,67,0,10.3,0,5,24,2022,15,"Summer"
11,"Lighthouse",11,77,115,1,9.58,0,5,24,2022,15,"Summer"
11,"Lighthouse",12,12,18,0,2.98,0,5,24,2022,15,"Summer"
11,"Lighthouse",13,35,53,0,7.52,0,5,24,2022,15,"Summer"
11,"Lighthouse",14,58,87,1,7.95,0,5,24,2022,15,"Summer"
11,"Lighthouse",15,60,90,1,10.88,0,5,24,2022,15,"Summer"
11,"East Lumps",1,91,136,1,7.21,0,5,24,2022,15,"Summer"
11,"East Lumps",2,87,130,1,8.27,0,5,24,2022,15,"Summer"
11,"East Lumps",3,52,78,1,6.74,0,5,24,2022,15,"Summer"
11,"East Lumps",4,37,56,0,6.63,0,5,24,2022,15,"Summer"
11,"East Lumps",5,95,143,1,11.05,0,5,24,2022,15,"Summer"
11,"East Lumps",6,104,156,1,7.28,0,5,24,2022,15,"Summer"
11,"East Lumps",7,140,210,1,7.55,0,5,24,2022,15,"Summer"
11,"East Lumps",8,45,67,0,9.69,0,5,24,2022,15,"Summer"
11,"East Lumps",9,30,44,0,8.35,0,5,24,2022,15,"Summer"
11,"East Lumps",10,63,94,1,13.1,0,5,24,2022,15,"Summer"
11,"East Lumps",11,44,66,0,6.18,0,5,24,2022,15,"Summer"
11,"East Lumps",12,98,146,1,9.74,0,5,24,2022,15,"Summer"
11,"East Lumps",13,114,171,1,7.7,0,5,24,2022,15,"Summer"
11,"East Lumps",14,48,72,1,9.29,0,5,24,2022,15,"Summer"
11,"East Lumps",15,51,77,1,10.32,0,5,24,2022,15,"Summer"
11,"Cat Point",1,46,69,0,6.67,0,5,24,2022,15,"Summer"
11,"Cat Point",2,85,127,1,7,0,5,24,2022,15,"Summer"
11,"Cat Point",3,66,99,1,6.96,0,5,24,2022,15,"Summer"
11,"Cat Point",4,71,106,1,6.88,0,5,24,2022,15,"Summer"
11,"Cat Point",5,85,127,1,6.33,0,5,24,2022,15,"Summer"
11,"Cat Point",6,109,164,1,6.79,0,5,24,2022,15,"Summer"
11,"Cat Point",7,28,42,0,3.55,0,5,24,2022,15,"Summer"
11,"Cat Point",8,100,150,1,6.82,0,5,24,2022,15,"Summer"
11,"Cat Point",9,33,50,0,3.73,0,5,24,2022,15,"Summer"
11,"Cat Point",10,66,99,1,6.65,0,5,24,2022,15,"Summer"
11,"Cat Point",11,86,128,1,7.34,0,5,24,2022,15,"Summer"
11,"Cat Point",12,43,64,0,5.34,0,5,24,2022,15,"Summer"
11,"Cat Point",13,80,119,1,8.04,0,5,24,2022,15,"Summer"
11,"Cat Point",14,105,157,1,8.56,1,5,24,2022,15,"Summer"
11,"Cat Point",15,72,108,1,7.15,0,5,24,2022,15,"Summer"
10,"Bulkhead",1,43,16,0,1.36,0,2,23,2022,14,"Winter"
10,"Bulkhead",2,33,13,0,1.35,0,2,23,2022,14,"Winter"
10,"Bulkhead",3,4,2,0,0.88,0,2,23,2022,14,"Winter"
10,"Bulkhead",4,0,0,0,0.78,0,2,23,2022,14,"Winter"
10,"Bulkhead",5,3,1,0,0.86,0,2,23,2022,14,"Winter"
10,"Bulkhead",6,1,0,0,1.09,0,2,23,2022,14,"Winter"
10,"Bulkhead",7,2,1,0,0.81,0,2,23,2022,14,"Winter"
10,"Bulkhead",8,1,0,0,0.75,0,2,23,2022,14,"Winter"
10,"Bulkhead",9,16,6,0,1,0,2,23,2022,14,"Winter"
10,"Bulkhead",10,14,5,0,1.17,0,2,23,2022,14,"Winter"
10,"Bulkhead",11,15,6,0,1.16,0,2,23,2022,14,"Winter"
10,"Bulkhead",12,34,13,0,1.7,0,2,23,2022,14,"Winter"
10,"Bulkhead",13,9,3,0,1.4,0,2,23,2022,14,"Winter"
10,"Bulkhead",14,4,1,0,0.92,0,2,23,2022,14,"Winter"
10,"Bulkhead",15,40,15,0,0.99,0,2,23,2022,14,"Winter"
11,"Bulkhead",1,3,5,0,2.34,0,5,24,2022,15,"Summer"
11,"Bulkhead",2,2,4,0,2.2,0,5,24,2022,15,"Summer"
11,"Bulkhead",3,0,1,0,2.14,0,5,24,2022,15,"Summer"
11,"Bulkhead",4,2,2,0,2.26,0,5,24,2022,15,"Summer"
11,"Bulkhead",5,7,10,0,2.1,0,5,24,2022,15,"Summer"
11,"Bulkhead",6,3,5,0,1.99,0,5,24,2022,15,"Summer"
11,"Bulkhead",7,0,1,0,1.47,0,5,24,2022,15,"Summer"
11,"Bulkhead",8,2,2,0,1.27,0,5,24,2022,15,"Summer"
11,"Bulkhead",9,0,0,0,1.11,0,5,24,2022,15,"Summer"
11,"Bulkhead",10,1,1,0,2.29,0,5,24,2022,15,"Summer"
11,"Bulkhead",11,1,2,0,2.02,0,5,24,2022,15,"Summer"
11,"Bulkhead",12,3,4,0,1.35,0,5,24,2022,15,"Summer"
11,"Bulkhead",13,2,2,0,1.02,0,5,24,2022,15,"Summer"
11,"Bulkhead",14,0,0,0,0.58,0,5,24,2022,15,"Summer"
11,"Bulkhead",15,1,1,0,1.36,0,5,24,2022,15,"Summer"
10,"Bulkhead",1,14,5,0,1.25,0,2,23,2022,14,"Winter"
10,"Bulkhead",2,14,5,0,1.25,0,2,23,2022,14,"Winter"
10,"Bulkhead",3,1,1,0,1.33,0,2,23,2022,14,"Winter"
10,"Bulkhead",4,7,3,0,1.57,0,2,23,2022,14,"Winter"
10,"Bulkhead",5,14,5,0,2,0,2,23,2022,14,"Winter"
10,"Bulkhead",6,5,2,0,1.24,0,2,23,2022,14,"Winter"
10,"Bulkhead",7,0,0,0,1.01,0,2,23,2022,14,"Winter"
10,"Bulkhead",8,17,7,0,1.41,0,2,23,2022,14,"Winter"
10,"Bulkhead",9,7,3,0,1.03,0,2,23,2022,14,"Winter"
10,"Bulkhead",10,27,10,0,2.32,0,2,23,2022,14,"Winter"
10,"Bulkhead",11,6,2,0,1.52,0,2,23,2022,14,"Winter"
10,"Bulkhead",12,20,8,0,2.21,0,2,23,2022,14,"Winter"
10,"Bulkhead",13,18,7,0,1.65,0,2,23,2022,14,"Winter"
10,"Bulkhead",14,12,5,0,1.92,0,2,23,2022,14,"Winter"
10,"Bulkhead",15,23,9,0,1.76,0,2,23,2022,14,"Winter"
11,"Bulkhead",1,1,2,0,1.05,0,5,24,2022,15,"Summer"
11,"Bulkhead",2,5,7,0,1.84,0,5,24,2022,15,"Summer"
11,"Bulkhead",3,9,14,0,2.67,0,5,24,2022,15,"Summer"
11,"Bulkhead",4,10,14,0,2.37,0,5,24,2022,15,"Summer"
11,"Bulkhead",5,0,1,0,1.7,0,5,24,2022,15,"Summer"
11,"Bulkhead",6,8,11,0,1.6,0,5,24,2022,15,"Summer"
11,"Bulkhead",7,7,10,0,2.41,0,5,24,2022,15,"Summer"
11,"Bulkhead",8,4,6,0,2.32,0,5,24,2022,15,"Summer"
11,"Bulkhead",9,2,2,0,1.83,0,5,24,2022,15,"Summer"
11,"Bulkhead",10,2,4,0,3.75,0,5,24,2022,15,"Summer"
11,"Bulkhead",11,2,4,0,1.35,0,5,24,2022,15,"Summer"
11,"Bulkhead",12,2,2,0,1.9,0,5,24,2022,15,"Summer"
11,"Bulkhead",13,0,0,0,1.62,0,5,24,2022,15,"Summer"
11,"Bulkhead",14,3,4,0,1.78,0,5,24,2022,15,"Summer"
11,"Bulkhead",15,4,6,0,2.75,0,5,24,2022,15,"Summer"
