"Project","Year","Month","Day","Site","Period","Season","Bottom","Cultch","Quadrat","Weight","Spat","Sublegal","Legal"
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,2,0.6,62,17,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,3,0.5,25,7,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,4,5,1680,447,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,5,4.25,1778,472,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,6,4,1297,345,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,7,2.25,288,76,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,8,2,852,226,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,9,1.25,162,43,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,10,1.25,290,77,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,11,4,1466,390,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,12,1.8,195,52,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,13,1.25,28,8,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,14,1.5,129,34,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,15,1.25,561,149,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,1,0.6,20,5,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,2,0.6,29,8,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,3,0.5,6,1,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,4,0.65,6,2,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,5,0.5,43,12,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,6,0.8,47,13,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,7,-999,66,17,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,8,0.75,21,6,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,9,0.4,16,4,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,10,0.5,27,7,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,11,0.65,76,20,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,12,0.3,9,3,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,13,0.5,29,8,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,14,0.5,27,7,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,15,0.75,24,6,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,1,0.4,40,11,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,2,1,450,119,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,3,0.3,21,5,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,4,0.55,171,46,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,5,0.8,68,18,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,6,1,145,39,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,7,0.5,57,15,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,8,0.6,55,14,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,9,1,156,42,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,10,1.2,NA,NA,NA
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,11,1.2,212,56,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,12,0.75,63,17,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,13,0.9,156,42,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,14,1.5,214,57,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,15,2.75,847,225,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,1,1,501,133,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,2,3.75,1597,424,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,3,3.5,2184,581,1
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,4,10,4810,1278,1
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,5,8.75,4476,1190,1
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,6,4.5,2056,546,1
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,7,3,1336,355,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,8,6,4066,1081,1
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,9,6.5,3685,980,1
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,10,5,1809,481,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,11,6.25,2990,795,1
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,12,5.5,3076,818,1
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,13,4.25,2235,594,1
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,14,1.25,671,178,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,15,2.5,1435,382,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,1,1.4,559,149,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,2,5.75,2416,642,1
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,3,0.15,7,2,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,4,0.25,3,1,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,5,1,355,94,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,6,0.6,67,18,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,7,2,606,161,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,8,4,1008,268,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,9,6,2282,607,1
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,10,2.1,363,97,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,11,0.3,3,1,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,12,0.15,2,1,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,13,0.25,9,3,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,14,0.25,9,2,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,15,0.25,3,1,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,1,1.3,213,57,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,2,4.5,1727,459,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,3,0.25,88,23,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,4,0.75,324,86,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,5,3,1584,421,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,6,4.25,1966,522,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,7,3,875,232,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,8,2.5,1336,355,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,9,5.25,2346,624,1
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,10,0.7,152,41,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,11,3.25,1100,293,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,12,0.35,40,11,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,13,0.6,64,17,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,14,1.9,558,148,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,15,0.35,92,24,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,1,4.6,1221,325,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,2,1.75,272,72,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,3,1.3,307,82,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,4,0.4,17,4,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,5,2.5,758,201,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,6,1.2,205,55,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,7,0.4,13,3,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,8,0.4,26,7,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,9,0.3,8,2,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,10,0.25,28,7,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,11,0.25,3,1,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,12,0.4,9,3,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,13,2,358,95,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,14,2,420,112,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,15,1.6,269,72,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,1,0.3,12,3,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,2,0.4,5,1,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,3,0.25,9,2,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,4,1.75,281,75,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,5,1.8,306,81,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,6,0.85,115,31,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,7,1.25,365,97,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,8,0.75,68,18,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,9,0.5,46,12,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,10,0.3,40,10,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,11,0.65,115,30,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,12,0.4,16,4,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,13,0.25,8,2,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,14,0.35,6,1,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,15,0.6,11,3,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,1,0.4,6,1,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,2,0.55,6,1,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,3,0.25,13,4,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,4,0.5,11,3,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,5,0.4,20,5,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,6,0.8,5,1,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,7,1,34,9,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,8,1.25,52,14,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,9,0.35,21,6,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,10,0.5,8,2,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,11,1,2,0,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,12,0.35,7,2,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,13,0.5,6,1,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,14,0.4,24,7,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,15,0.4,19,5,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,1,0.35,9,3,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,2,0.25,10,3,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,3,0.4,21,6,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,4,2.1,NA,NA,NA
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,5,0.75,54,14,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,6,0.25,28,7,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,7,0.35,46,12,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,8,0.4,32,8,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,9,0.5,16,4,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,10,2,494,131,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,11,3,854,227,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,12,6.25,2238,595,1
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,13,0.35,37,10,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,14,1.6,472,126,0
"NFWF_1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,15,1.8,388,103,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,1,0.35,1,0,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,2,0.25,0,0,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,3,0.25,2,1,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,4,0.3,0,0,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,5,0.25,1,0,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,6,0.3,2,0,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,7,0.25,4,1,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,8,0.3,3,1,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,9,0.35,8,2,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,10,0.2,6,1,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,11,0.25,0,0,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,12,0.3,0,0,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,13,0.3,13,3,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,14,0.3,3,1,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,15,0.25,0,0,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,1,3.65,531,141,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,2,0.9,154,41,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,3,1.15,205,54,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,4,1,152,40,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,5,3.7,580,154,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,6,2.3,290,77,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,7,1.4,266,71,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,8,1.25,153,41,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,9,3.7,525,140,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,10,2.25,405,108,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,11,1.5,188,50,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,12,2.4,397,106,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,13,1.85,303,80,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,14,1.2,166,44,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,15,0.9,111,30,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",100,1,2.5,391,104,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",100,2,1.5,298,79,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",100,3,1.3,269,71,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",100,4,0.45,72,19,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",100,5,0.35,33,9,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",100,6,0.8,73,19,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",100,7,0.9,121,32,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",100,8,1,166,44,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",100,9,1.25,170,45,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",100,10,2,287,76,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",100,11,2.1,363,97,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",100,12,0.9,103,27,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",100,13,1.4,246,65,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",100,14,1.2,134,35,0
"NFWF_1",2016,1,31,"Bulkhead",2,"Winter","Shell",100,15,0.9,205,54,0
"NFWF_1",2016,1,25,"Bulkhead",2,"Winter","Shell",400,1,4.75,844,224,0
"NFWF_1",2016,1,25,"Bulkhead",2,"Winter","Shell",400,2,2.6,445,118,0
"NFWF_1",2016,1,25,"Bulkhead",2,"Winter","Shell",400,3,4.5,788,210,0
"NFWF_1",2016,1,25,"Bulkhead",2,"Winter","Shell",400,4,2.25,484,129,0
"NFWF_1",2016,1,25,"Bulkhead",2,"Winter","Shell",400,5,3.5,574,152,0
"NFWF_1",2016,1,25,"Bulkhead",2,"Winter","Shell",400,6,3.25,695,185,0
"NFWF_1",2016,1,25,"Bulkhead",2,"Winter","Shell",400,7,5.25,837,222,0
"NFWF_1",2016,1,25,"Bulkhead",2,"Winter","Shell",400,8,3,369,98,0
"NFWF_1",2016,1,25,"Bulkhead",2,"Winter","Shell",400,9,4,703,187,0
"NFWF_1",2016,1,25,"Bulkhead",2,"Winter","Shell",400,10,2,367,97,0
"NFWF_1",2016,1,25,"Bulkhead",2,"Winter","Shell",400,11,1.1,185,49,0
"NFWF_1",2016,1,25,"Bulkhead",2,"Winter","Shell",400,12,2.75,410,109,0
"NFWF_1",2016,1,25,"Bulkhead",2,"Winter","Shell",400,13,0.6,115,31,0
"NFWF_1",2016,1,25,"Bulkhead",2,"Winter","Shell",400,14,0.9,107,29,0
"NFWF_1",2016,1,25,"Bulkhead",2,"Winter","Shell",400,15,4.5,722,192,0
"NFWF_1",2016,1,20,"Bulkhead",2,"Winter","Shell",300,1,4,342,91,0
"NFWF_1",2016,1,20,"Bulkhead",2,"Winter","Shell",300,2,4.5,306,81,0
