"Bay","Site","Quadrat","Weight_kg","Adults","Seed","Spat","Total Live","Total Dead","Month","Day","Year","Date","Period","Season"
"Apalachicola Bay","Redfish Creek",5,1.35,2,0,1,3,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",1,1.15,0,0,2,2,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",2,1.23,0,0,0,0,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",3,0.79,0,0,0,0,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",4,1.04,0,0,3,3,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",5,0.98,0,0,0,0,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",1,1.44,0,0,1,1,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",2,0.96,0,1,0,1,1,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",3,1.09,0,1,0,1,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",4,1.02,0,0,0,0,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",5,0.74,0,0,0,0,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",1,1.59,0,0,0,0,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",2,1.38,0,1,6,7,2,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",3,1.27,0,0,2,2,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",4,1.51,0,1,1,2,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",5,1.21,0,0,0,0,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",1,1.94,0,0,5,5,1,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",2,1.25,0,1,1,2,1,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",3,1.49,0,1,0,1,2,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",4,2,0,1,2,3,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",5,2.06,0,0,0,0,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",1,1.52,0,0,1,1,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",2,1.66,0,2,0,2,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",3,0.88,0,2,0,2,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",4,1.31,0,0,0,0,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek",5,1.78,1,3,1,5,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",1,1.4,0,0,0,0,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",2,0.57,0,0,0,0,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",3,1.35,0,0,1,1,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",4,2.67,0,0,3,3,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",5,1.4,0,3,0,3,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",1,2.7,0,1,2,3,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",2,2.73,0,2,3,5,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",3,2.56,0,1,2,3,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",4,5.82,1,1,0,2,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",5,2.12,0,0,3,3,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",1,2.33,0,0,0,0,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",2,2.18,0,0,0,0,1,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",3,2.86,0,0,0,0,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",4,2.06,0,0,0,0,1,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",5,2.76,2,2,3,7,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",1,5.06,0,0,2,2,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",2,5.24,1,3,5,9,1,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",3,3.71,1,2,2,5,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",4,3.86,0,3,2,5,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",5,6.06,1,3,0,4,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",1,4.06,0,1,1,2,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",2,5.27,0,0,2,2,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",3,2.26,0,1,1,2,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",4,2.49,1,0,0,1,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",5,2.64,0,0,3,3,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",1,3.26,0,1,0,1,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",2,2.92,0,2,0,2,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",3,2.46,0,1,1,2,1,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",4,2.11,0,0,0,0,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",5,1.97,0,0,0,0,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",1,0.85,0,0,0,0,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",2,0.73,0,0,0,0,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",3,0.31,0,0,0,0,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",4,0.42,0,0,0,0,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",5,0.31,0,0,0,0,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",1,0.33,0,0,0,0,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",2,0.38,0,0,0,0,2,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",3,0.34,0,0,0,0,1,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",4,0.8,0,0,0,0,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",5,0.91,0,1,1,2,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",1,3.81,1,2,1,4,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",2,5.18,0,0,2,2,2,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",3,1.42,0,2,0,2,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",4,1.29,0,0,0,0,1,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Eleven Mile",5,3.05,0,1,1,2,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Bayou Flats",1,4.55,2,2,1,5,1,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Bayou Flats",2,4.78,0,3,3,6,1,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Bayou Flats",3,1.88,1,1,0,2,1,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Bayou Flats",4,2,0,1,0,1,1,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Bayou Flats",5,2.32,0,1,0,1,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Bayou Flats",1,NA,1,0,1,2,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Bayou Flats",2,3.23,0,0,2,2,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Bayou Flats",3,3.39,0,1,0,1,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Bayou Flats",4,2.87,0,1,1,2,1,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Bayou Flats",5,5.98,0,4,8,12,9,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Bayou Flats",1,1.77,0,0,0,0,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Bayou Flats",2,1.44,0,0,0,0,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Bayou Flats",3,2.78,0,0,0,0,1,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Bayou Flats",4,1.87,1,0,0,1,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Bayou Flats",5,2.06,0,1,0,1,1,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Dry Bar",1,0.67,0,0,7,7,2,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",2,1.73,0,0,12,12,3,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",3,1.3,0,0,15,15,0,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",4,2.01,0,0,9,9,0,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",5,2.14,0,0,13,13,0,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",1,1.2,0,0,6,6,2,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",2,0.87,0,0,5,5,0,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",3,1.26,0,0,18,18,1,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",4,0.71,0,0,4,4,0,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",5,0.45,0,0,0,0,0,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",1,2.34,0,0,14,14,1,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",2,1.11,0,0,5,5,0,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",3,0.86,0,0,10,10,2,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",4,1.78,0,0,27,27,4,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",5,1.83,0,0,20,20,0,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",1,0.86,0,0,4,4,1,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",2,1.59,0,0,5,5,0,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",3,0.52,0,0,1,1,0,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",4,0.69,0,0,8,8,2,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",5,0.99,0,0,4,4,3,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",1,0.66,0,0,1,1,1,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",2,0.65,0,0,5,5,4,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",3,0.38,0,0,3,3,0,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",4,1.03,0,0,4,4,1,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",5,1.03,0,0,4,4,0,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",1,1.71,0,0,2,2,2,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",2,1.45,0,0,1,1,3,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",3,1.26,0,0,5,5,1,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",4,1.77,0,0,5,5,4,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",5,0.98,0,0,1,1,2,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",1,0.22,0,0,0,0,0,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",2,0.61,0,0,2,2,0,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",3,1.29,0,0,3,3,1,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",4,1.66,0,0,5,5,0,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",5,0.85,0,0,2,2,1,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",1,0.35,0,0,0,0,0,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",2,0.38,0,0,0,0,0,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",3,0.8,0,0,0,0,1,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",4,1.46,0,0,2,2,0,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",5,1.83,0,0,1,1,1,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",1,1.93,0,0,4,4,1,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",2,1.03,0,0,0,0,1,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",3,1.86,0,0,1,1,1,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",4,0.85,0,0,0,0,1,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",5,1.54,0,0,1,1,0,9,30,2021,2021-09-30,13,"Summer"
"Apalachicola Bay","Dry Bar",1,5.54,0,0,1,1,11,12,3,2021,2021-12-03,14,"Winter"
"Apalachicola Bay","Dry Bar",2,1.86,0,0,0,0,0,12,3,2021,2021-12-03,14,"Winter"
"Apalachicola Bay","Dry Bar",3,1.4,0,0,0,0,1,12,3,2021,2021-12-03,14,"Winter"
"Apalachicola Bay","Dry Bar",4,1.04,0,0,1,1,0,12,3,2021,2021-12-03,14,"Winter"
"Apalachicola Bay","Dry Bar",5,2.02,0,0,1,1,2,12,3,2021,2021-12-03,14,"Winter"
"Apalachicola Bay","Dry Bar",1,6.01,0,0,1,1,0,12,3,2021,2021-12-03,14,"Winter"
"Apalachicola Bay","Dry Bar",2,2.18,0,0,0,0,3,12,3,2021,2021-12-03,14,"Winter"
"Apalachicola Bay","Dry Bar",3,1.48,0,0,0,0,0,12,3,2021,2021-12-03,14,"Winter"
"Apalachicola Bay","Dry Bar",4,7.55,0,0,1,1,1,12,3,2021,2021-12-03,14,"Winter"
"Apalachicola Bay","Dry Bar",5,3.37,0,0,0,0,0,12,3,2021,2021-12-03,14,"Winter"
"Apalachicola Bay","Dry Bar",1,1.55,0,0,0,0,0,12,3,2021,2021-12-03,14,"Winter"
"Apalachicola Bay","Dry Bar",2,1.09,0,0,0,0,0,12,3,2021,2021-12-03,14,"Winter"
"Apalachicola Bay","Dry Bar",3,0.68,0,0,0,0,2,12,3,2021,2021-12-03,14,"Winter"
"Apalachicola Bay","Dry Bar",4,1.71,0,0,0,0,0,12,3,2021,2021-12-03,14,"Winter"
"Apalachicola Bay","Dry Bar",5,1.44,0,0,0,0,2,12,3,2021,2021-12-03,14,"Winter"
"Apalachicola Bay","Cabbage Top",1,0.96,0,1,0,1,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",2,0.47,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",3,0.07,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",4,0.29,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",5,0,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",1,0.1,0,0,2,2,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",2,0.37,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",3,0,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",4,0,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",5,0,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",1,0,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",2,0,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",3,0,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",4,0,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",5,0,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",1,0,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",2,0,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",3,0,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",4,0,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",5,0,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",1,0.35,0,0,1,1,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",2,0.64,0,0,4,4,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",3,0.2,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",4,0.6,0,0,14,14,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",5,0.49,0,0,3,3,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",1,0,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",2,0,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",3,0,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",4,0,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Cabbage Top",5,0,0,0,0,0,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Green Point",1,1.92,0,0,7,7,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Green Point",2,3.83,0,0,8,8,1,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Green Point",3,4.12,0,0,11,11,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Green Point",4,1.15,0,0,2,2,1,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Green Point",5,2.76,0,0,13,13,2,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Green Point",1,3.99,0,0,13,13,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Green Point",2,4.2,0,0,15,15,4,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Green Point",3,3.96,0,0,4,4,2,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Green Point",4,1.45,0,0,3,3,1,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Green Point",5,2.99,0,0,5,5,6,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Green Point",1,1.99,0,1,1,2,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Green Point",2,1.67,0,0,6,6,1,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Green Point",3,2.41,0,0,15,15,4,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Green Point",4,2.95,0,0,10,10,5,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Green Point",5,2.72,0,1,7,8,0,9,21,2021,2021-09-21,13,"Summer"
"Apalachicola Bay","Hotel Bar",1,1.9,0,0,5,5,3,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",2,0.93,0,0,5,5,0,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",3,1.93,0,0,2,2,2,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",4,0.93,0,0,3,3,0,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",5,2.17,0,0,8,8,1,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",1,1.06,0,0,5,5,2,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",2,0.74,0,0,0,0,1,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",3,0.59,0,0,1,1,1,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",4,1.29,0,0,2,2,1,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",5,1.38,0,0,0,0,1,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",1,1.32,0,0,13,13,0,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",2,1.6,0,0,13,13,3,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",3,0.75,0,0,3,3,1,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",4,0.93,0,0,14,14,2,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",5,1.4,0,0,24,24,2,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",1,1.24,0,1,6,7,0,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",2,1.02,0,0,1,1,0,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",3,0.73,0,0,1,1,0,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",4,1.35,0,1,10,11,1,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",5,0.45,0,0,4,4,0,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",1,1.23,0,0,4,4,0,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",2,1.02,0,0,1,1,0,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",3,0.72,0,0,2,2,0,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",4,1.55,0,0,20,20,0,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",5,0.83,0,0,8,8,1,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",1,0.87,0,0,1,1,0,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",2,0.78,0,0,1,1,0,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",3,0.44,0,0,3,3,0,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",4,0.92,0,0,2,2,0,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",5,0.81,0,0,4,4,0,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",1,0.67,0,0,3,3,0,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",2,1.19,0,0,5,5,0,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",3,0.47,0,0,0,0,0,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",4,0.66,0,0,0,0,0,9,22,2021,2021-09-22,13,"Summer"
"Apalachicola Bay","Hotel Bar",5,0.56,0,0,3,3,0,9,22,2021,2021-09-22,13,"Summer"
