"Bay","Project","Year","Month","Day","Site","Period","Season","Bottom","Cultch","Quadrat","Weight_kg","Spat","Seed","Legal"
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,1,3,842,224,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,2,2.5,1169,311,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,3,2.25,1084,288,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,4,2,822,219,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,5,3,1416,377,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,6,2.4,1127,300,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,7,1.1,671,178,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,8,1.5,618,164,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,9,0.6,157,42,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,10,1,408,108,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,11,0.5,150,40,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,12,0.75,227,60,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,13,0.75,195,52,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,14,1.4,705,187,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,15,1,284,76,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,16,0.75,224,59,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,1,7,1611,428,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,2,4.5,NA,NA,NA
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,3,4.5,1577,419,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,4,1,382,102,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,5,0.4,123,33,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,6,0.1,2,1,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,7,0.25,40,10,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,8,0.25,2,1,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,9,0.25,6,1,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,10,0.15,7,2,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,11,2.5,916,243,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,12,3.5,1248,332,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,13,9.25,3662,974,1
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,14,3,1078,287,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,15,4.75,2063,548,1
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,1,10,2678,712,1
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,2,0.35,69,18,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,3,0.45,59,16,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,4,0.3,32,9,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,5,1.15,383,102,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,6,0.75,386,103,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,7,0.75,290,77,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,8,1.25,712,189,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,9,7.5,2417,642,1
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,10,2.5,818,218,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,11,7.5,1815,483,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,12,2.5,832,221,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,13,0.7,241,64,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,14,8.3,2031,540,1
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,15,2.75,1300,345,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,1,0.9,153,41,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,2,0.6,62,17,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,3,0.5,25,7,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,4,5,1680,447,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,5,4.25,1778,472,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,6,4,1297,345,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,7,2.25,288,76,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,8,2,852,226,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,9,1.25,162,43,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,10,1.25,290,77,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,11,4,1466,390,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,12,1.8,195,52,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,13,1.25,28,8,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,14,1.5,129,34,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,15,1.25,561,149,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,1,0.6,20,5,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,2,0.6,29,8,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,3,0.5,6,1,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,4,0.65,6,2,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,5,0.5,43,12,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,6,0.8,47,13,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,7,-999,66,17,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,8,0.75,21,6,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,9,0.4,16,4,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,10,0.5,27,7,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,11,0.65,76,20,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,12,0.3,9,3,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,13,0.5,29,8,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,14,0.5,27,7,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",0,15,0.75,24,6,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,1,0.4,40,11,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,2,1,450,119,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,3,0.3,21,5,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,4,0.55,171,46,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,5,0.8,68,18,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,6,1,145,39,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,7,0.5,57,15,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,8,0.6,55,14,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,9,1,156,42,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,10,1.2,NA,NA,NA
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,11,1.2,212,56,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,12,0.75,63,17,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,13,0.9,156,42,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,14,1.5,214,57,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",300,15,2.75,847,225,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,1,1,501,133,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,2,3.75,1597,424,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,3,3.5,2184,581,1
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,4,10,4810,1278,1
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,5,8.75,4476,1190,1
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,6,4.5,2056,546,1
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,7,3,1336,355,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,8,6,4066,1081,1
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,9,6.5,3685,980,1
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,10,5,1809,481,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,11,6.25,2990,795,1
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,12,5.5,3076,818,1
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,13,4.25,2235,594,1
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,14,1.25,671,178,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",400,15,2.5,1435,382,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,1,1.4,559,149,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,2,5.75,2416,642,1
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,3,0.15,7,2,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,4,0.25,3,1,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,5,1,355,94,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,6,0.6,67,18,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,7,2,606,161,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,8,4,1008,268,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,9,6,2282,607,1
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,10,2.1,363,97,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,11,0.3,3,1,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,12,0.15,2,1,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,13,0.25,9,3,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,14,0.25,9,2,0
"Apalachicola","NFWF-1",2015,10,14,"Hotel Bar",2,"Winter","Shell",200,15,0.25,3,1,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,1,1.3,213,57,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,2,4.5,1727,459,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,3,0.25,88,23,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,4,0.75,324,86,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,5,3,1584,421,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,6,4.25,1966,522,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,7,3,875,232,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,8,2.5,1336,355,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,9,5.25,2346,624,1
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,10,0.7,152,41,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,11,3.25,1100,293,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,12,0.35,40,11,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,13,0.6,64,17,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,14,1.9,558,148,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",300,15,0.35,92,24,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,1,4.6,1221,325,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,2,1.75,272,72,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,3,1.3,307,82,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,4,0.4,17,4,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,5,2.5,758,201,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,6,1.2,205,55,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,7,0.4,13,3,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,8,0.4,26,7,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,9,0.3,8,2,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,10,0.25,28,7,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,11,0.25,3,1,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,12,0.4,9,3,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,13,2,358,95,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,14,2,420,112,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",100,15,1.6,269,72,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,1,0.3,12,3,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,2,0.4,5,1,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,3,0.25,9,2,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,4,1.75,281,75,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,5,1.8,306,81,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,6,0.85,115,31,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,7,1.25,365,97,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,8,0.75,68,18,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,9,0.5,46,12,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,10,0.3,40,10,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,11,0.65,115,30,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,12,0.4,16,4,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,13,0.25,8,2,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,14,0.35,6,1,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",400,15,0.6,11,3,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,1,0.4,6,1,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,2,0.55,6,1,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,3,0.25,13,4,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,4,0.5,11,3,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,5,0.4,20,5,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,6,0.8,5,1,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,7,1,34,9,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,8,1.25,52,14,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,9,0.35,21,6,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,10,0.5,8,2,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,11,1,2,0,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,12,0.35,7,2,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,13,0.5,6,1,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,14,0.4,24,7,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",0,15,0.4,19,5,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,1,0.35,9,3,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,2,0.25,10,3,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,3,0.4,21,6,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,4,2.1,NA,NA,NA
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,5,0.75,54,14,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,6,0.25,28,7,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,7,0.35,46,12,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,8,0.4,32,8,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,9,0.5,16,4,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,10,2,494,131,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,11,3,854,227,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,12,6.25,2238,595,1
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,13,0.35,37,10,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,14,1.6,472,126,0
"Apalachicola","NFWF-1",2015,10,29,"Dry Bar",2,"Winter","Shell",200,15,1.8,388,103,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,1,0.35,1,0,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,2,0.25,0,0,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,3,0.25,2,1,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,4,0.3,0,0,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,5,0.25,1,0,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,6,0.3,2,0,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,7,0.25,4,1,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,8,0.3,3,1,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,9,0.35,8,2,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,10,0.2,6,1,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,11,0.25,0,0,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,12,0.3,0,0,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,13,0.3,13,3,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,14,0.3,3,1,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",0,15,0.25,0,0,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,1,3.65,531,141,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,2,0.9,154,41,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,3,1.15,205,54,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,4,1,152,40,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,5,3.7,580,154,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,6,2.3,290,77,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,7,1.4,266,71,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,8,1.25,153,41,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,9,3.7,525,140,0
"Apalachicola","NFWF-1",2016,1,31,"Bulkhead",2,"Winter","Shell",200,10,2.25,405,108,0
